Model,evttime,ret_m,abret_m,abret_t,sar_t,pat_ar,cret_me,car_me,patcar_me,car_te,scar_te,bhar_me
Fama-French Plus Momentum,-7,-0.006159675,-0.004180521,-1.321635652,-1.009511738,-1.617515049,-0.271692158,-0.233957981,-40.34370878,-11.48414674,-12.23737778,-0.230322768
Fama-French Plus Momentum,-6,-0.005085397,-0.001196475,-0.506951853,-0.679369251,-0.894889335,-0.271692158,-0.233957981,-40.34370878,-11.48414674,-12.23737778,-0.230322768
Fama-French Plus Momentum,-5,-0.011131802,-0.005950604,-1.963525956,-2.299184268,-3.812401708,-0.271692158,-0.233957981,-40.34370878,-11.48414674,-12.23737778,-0.230322768
Fama-French Plus Momentum,-4,0.0019018399,0.0052065801,1.2655750073,0.7597846626,1.1424683795,-0.271692158,-0.233957981,-40.34370878,-11.48414674,-12.23737778,-0.230322768
Fama-French Plus Momentum,-3,-0.006075269,-0.003987577,-1.057939089,-0.560403831,-0.977013067,-0.271692158,-0.233957981,-40.34370878,-11.48414674,-12.23737778,-0.230322768
Fama-French Plus Momentum,-2,-0.008656662,-0.007498051,-2.066459456,-2.514818381,-5.693498943,-0.271692158,-0.233957981,-40.34370878,-11.48414674,-12.23737778,-0.230322768
Fama-French Plus Momentum,-1,-0.008307099,-0.00343363,-0.319582949,-1.823807508,-5.404844697,-0.271692158,-0.233957981,-40.34370878,-11.48414674,-12.23737778,-0.230322768
Fama-French Plus Momentum,0,-0.079865491,-0.07279263,-7.67862513,-7.204363242,-50.21770717,-0.271692158,-0.233957981,-40.34370878,-11.48414674,-12.23737778,-0.230322768
Fama-French Plus Momentum,1,-0.131540622,-0.124505109,-10.69905263,-9.469103035,-79.17204464,-0.271692158,-0.233957981,-40.34370878,-11.48414674,-12.23737778,-0.230322768
Fama-French Plus Momentum,2,-0.014111027,-0.015143228,-3.205014649,-3.573630304,-10.12661226,-0.271692158,-0.233957981,-40.34370878,-11.48414674,-12.23737778,-0.230322768
Fama-French Plus Momentum,3,-0.012881622,-0.009975572,-2.105819857,-2.091059156,-4.92609851,-0.271692158,-0.233957981,-40.34370878,-11.48414674,-12.23737778,-0.230322768
Fama-French Plus Momentum,4,0.0006431527,0.0045647873,0.879540939,0.8523129482,2.5102134794,-0.271692158,-0.233957981,-40.34370878,-11.48414674,-12.23737778,-0.230322768
Fama-French Plus Momentum,5,-0.005838251,-0.00187419,-0.445631032,-0.249197298,-0.473102633,-0.271692158,-0.233957981,-40.34370878,-11.48414674,-12.23737778,-0.230322768
Fama-French Plus Momentum,6,0.0018488599,0.0061386506,1.3491335906,1.5222386307,3.4601028157,-0.271692158,-0.233957981,-40.34370878,-11.48414674,-12.23737778,-0.230322768
Fama-French Plus Momentum,7,-0.002907161,-0.000897372,-0.196370848,-0.024476281,-0.047568881,-0.271692158,-0.233957981,-40.34370878,-11.48414674,-12.23737778,-0.230322768
